,value,unit,serialNumber
2020-10-14 15:24:33+00:00,100,%,00158D000192D255
2020-10-14 15:30:24+00:00,0,%,00158D000192D255
2020-10-14 15:39:33+00:00,0,%,00158D000192D255
2020-10-14 15:54:33+00:00,0,%,00158D000192D255
2020-10-14 16:09:33+00:00,0,%,00158D000192D255
2020-10-14 16:24:33+00:00,0,%,00158D000192D255
2020-10-14 16:39:33+00:00,0,%,00158D000192D255
2020-10-14 16:54:33+00:00,0,%,00158D000192D255
2020-10-14 17:09:33+00:00,0,%,00158D000192D255
2020-10-14 17:24:33+00:00,0,%,00158D000192D255
2020-10-14 17:39:33+00:00,0,%,00158D000192D255
2020-10-14 17:54:33+00:00,0,%,00158D000192D255
2020-10-14 17:57:50+00:00,100,%,00158D000192D255
2020-10-14 17:58:00+00:00,0,%,00158D000192D255
2020-10-14 18:09:33+00:00,0,%,00158D000192D255
2020-10-14 18:24:33+00:00,0,%,00158D000192D255
2020-10-14 18:39:33+00:00,0,%,00158D000192D255
2020-10-14 18:54:33+00:00,0,%,00158D000192D255
2020-10-14 19:09:33+00:00,0,%,00158D000192D255
2020-10-14 19:24:33+00:00,0,%,00158D000192D255
2020-10-14 19:39:33+00:00,0,%,00158D000192D255
2020-10-14 19:54:33+00:00,0,%,00158D000192D255
2020-10-14 20:09:33+00:00,0,%,00158D000192D255
2020-10-14 20:24:33+00:00,0,%,00158D000192D255
2020-10-14 20:39:33+00:00,0,%,00158D000192D255
2020-10-14 20:54:33+00:00,0,%,00158D000192D255
2020-10-14 21:09:33+00:00,0,%,00158D000192D255
2020-10-14 21:24:33+00:00,0,%,00158D000192D255
2020-10-14 21:39:33+00:00,0,%,00158D000192D255
2020-10-14 21:50:30+00:00,4,%,00158D000192D255
2020-10-14 21:52:32+00:00,1,%,00158D000192D255
2020-10-14 21:54:33+00:00,1,%,00158D000192D255
2020-10-14 22:09:33+00:00,1,%,00158D000192D255
2020-10-14 22:18:41+00:00,5,%,00158D000192D255
2020-10-14 22:24:33+00:00,5,%,00158D000192D255
2020-10-14 22:39:33+00:00,5,%,00158D000192D255
2020-10-14 22:54:33+00:00,5,%,00158D000192D255
2020-10-14 23:01:02+00:00,10,%,00158D000192D255
2020-10-14 23:09:33+00:00,10,%,00158D000192D255
2020-10-14 23:24:34+00:00,10,%,00158D000192D255
2020-10-14 23:39:34+00:00,10,%,00158D000192D255
2020-10-14 23:54:34+00:00,10,%,00158D000192D255
2020-10-15 00:05:36+00:00,15,%,00158D000192D255
2020-10-15 00:09:34+00:00,15,%,00158D000192D255
2020-10-15 00:24:34+00:00,15,%,00158D000192D255
2020-10-15 00:39:34+00:00,15,%,00158D000192D255
2020-10-15 00:51:58+00:00,20,%,00158D000192D255
2020-10-15 00:54:34+00:00,20,%,00158D000192D255
2020-10-15 01:09:34+00:00,20,%,00158D000192D255
2020-10-15 01:24:34+00:00,20,%,00158D000192D255
2020-10-15 01:28:12+00:00,24,%,00158D000192D255
2020-10-15 01:30:13+00:00,20,%,00158D000192D255
2020-10-15 01:34:15+00:00,25,%,00158D000192D255
2020-10-15 01:39:34+00:00,25,%,00158D000192D255
2020-10-15 01:54:34+00:00,25,%,00158D000192D255
2020-10-15 02:09:34+00:00,25,%,00158D000192D255
2020-10-15 02:12:33+00:00,29,%,00158D000192D255
2020-10-15 02:14:34+00:00,25,%,00158D000192D255
2020-10-15 02:16:34+00:00,30,%,00158D000192D255
2020-10-15 02:24:34+00:00,30,%,00158D000192D255
2020-10-15 02:39:34+00:00,30,%,00158D000192D255
2020-10-15 02:54:34+00:00,30,%,00158D000192D255
2020-10-15 03:05:02+00:00,34,%,00158D000192D255
2020-10-15 03:09:34+00:00,34,%,00158D000192D255
2020-10-15 03:17:05+00:00,24,%,00158D000192D255
2020-10-15 03:21:08+00:00,20,%,00158D000192D255
2020-10-15 03:23:09+00:00,19,%,00158D000192D255
2020-10-15 03:24:34+00:00,19,%,00158D000192D255
2020-10-15 03:25:11+00:00,15,%,00158D000192D255
2020-10-15 03:27:11+00:00,12,%,00158D000192D255
2020-10-15 03:31:14+00:00,8,%,00158D000192D255
2020-10-15 03:35:17+00:00,5,%,00158D000192D255
2020-10-15 03:39:34+00:00,5,%,00158D000192D255
2020-10-15 03:41:20+00:00,0,%,00158D000192D255
2020-10-15 03:54:34+00:00,0,%,00158D000192D255
2020-10-15 04:09:34+00:00,0,%,00158D000192D255
2020-10-15 04:24:34+00:00,0,%,00158D000192D255
2020-10-15 04:39:34+00:00,0,%,00158D000192D255
2020-10-15 04:54:34+00:00,0,%,00158D000192D255
2020-10-15 04:59:55+00:00,5,%,00158D000192D255
